               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 111,              1.9105,              1.0858,              1.6741,              0.8766,             0.78023,             0.83155,             0.38558,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                 112,              1.9209,              1.0657,              1.6192,             0.88031,             0.73679,             0.79557,             0.37333,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                 113,              1.9274,              1.1022,              1.6766,             0.83115,             0.75063,             0.81554,             0.38319,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                 114,              1.8956,              1.0474,               1.622,             0.85809,             0.74568,             0.81896,             0.39551,                   0,                   0,                   0,            0.006271,            0.006271,            0.006271
                 115,              1.8732,              1.0267,              1.5982,             0.86605,             0.75335,             0.82137,             0.38658,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                 116,              1.9039,             0.99549,               1.631,             0.80842,             0.79966,             0.83392,             0.38784,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                 117,              1.8855,              1.0142,              1.6432,              0.8124,             0.75691,             0.79379,             0.36939,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                 118,              1.8757,              1.0396,              1.6501,             0.78064,             0.76381,             0.76542,             0.36085,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                 119,               1.906,              1.0473,              1.6362,             0.83231,             0.76834,             0.80134,             0.38353,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                 120,              1.8874,              1.0387,              1.6601,              0.8334,             0.75258,              0.7801,             0.37398,                   0,                   0,                   0,            0.006073,            0.006073,            0.006073
                 121,              1.8711,              1.0147,              1.6367,             0.82915,             0.78124,             0.79974,             0.36429,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                 122,              1.8677,              1.0338,              1.6243,             0.83314,             0.77888,             0.82209,             0.38038,                   0,                   0,                   0,            0.006007,            0.006007,            0.006007
