               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 113,              1.8572,              1.2647,              1.6648,             0.75555,             0.81655,             0.81968,             0.40449,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                 114,              1.8282,               1.276,              1.6651,              0.7606,             0.83372,             0.81858,             0.42162,                   0,                   0,                   0,            0.006271,            0.006271,            0.006271
                 115,              1.8373,              1.2616,              1.6689,             0.82377,             0.76412,             0.81622,             0.42512,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                 116,              1.8275,              1.2803,              1.6981,             0.80409,             0.80239,             0.82363,               0.414,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                 117,              1.8319,              1.2788,              1.6571,             0.86005,             0.77118,              0.8299,             0.42728,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                 118,               1.829,              1.2827,              1.6926,             0.78645,             0.79559,             0.81192,             0.43558,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                 119,              1.8352,              1.2529,              1.6858,             0.84416,               0.809,             0.84252,              0.4331,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                 120,              1.8316,              1.2593,               1.641,             0.80114,             0.84863,              0.8185,             0.42361,                   0,                   0,                   0,            0.006073,            0.006073,            0.006073
                 121,              1.8205,              1.2678,              1.6573,             0.76181,             0.82968,             0.81302,             0.43888,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                 122,              1.8274,              1.2528,              1.6508,             0.79682,             0.84642,             0.82338,             0.41814,                   0,                   0,                   0,            0.006007,            0.006007,            0.006007
                 123,              1.7435,              1.2118,              1.6236,               0.832,             0.82126,             0.82878,             0.42781,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                 124,              1.7747,              1.1967,              1.6648,             0.80353,             0.81507,             0.82944,             0.42535,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                 125,              1.8135,              1.2116,              1.6785,             0.83958,             0.78505,             0.83361,             0.43841,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                 126,              1.7724,              1.1931,               1.642,             0.86322,             0.81745,             0.82502,             0.43757,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                 127,              1.7874,               1.187,              1.6414,             0.82456,             0.80504,             0.82786,             0.43588,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 128,              1.7427,              1.1618,              1.5939,             0.80142,             0.79787,             0.81015,             0.42834,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
